s,retailid,manitemid,y,m,d,efr,efc,ohb,promotypeid,srf_adew,srf_aheat,srf_amax,srf_aprcp,srf_cmf,srf_dew,srf_heatw,srf_hum,srf_max,srf_min,srf_prcp,srf_prcpp,srf_uv,srf_wnds,p_cci1,p_cci2,p_cci3,p_ces,p_cpi,p_cru,p_dies,p_emp,p_fern,p_fmr,p_gas,p_gern,p_hpe,p_hpi,p_hse,p_hsn,p_labf,p_lint,p_mern,p_mhrs,p_nfe,p_nhc,p_nhs,p_phm,p_rs,p_sint,p_smkt,p_uner,cy,zip_pop,age_median,white,black,asian,hispanic,fam_w_children,fam_female_head,house_rental,ed_bs,labor_force,commut_tele,commut_avg,inc_median_house,inc_mean_house,inc_mean_fam,inc_per_cap,house_rooms_median,house_oil
0,1,1,2012,1,2,11.2,11.2,890,0,-5.8035715,-1.6890488,0.78285599,-0.00333333,1.9485713,-4.8109523,23.74242,-23.7857132,3.7628555,1.117857,-0.0047619,-9.714285851,0,-3.5669057,61.5,38.8,76.7,1124,227.505,98.83,2.964,1402002,1353.7,3.98,2.902,259.7,150600,616,1010000,43,1402002,2.89,787.9,41.6,1371.2,88,110,6.31,360448,0,1257.6,6.4,0.64,14869,35.099998,25051,2002,2041,478,2069,344,1811,3229,8353,296,16.9,67206,78783,77756,33666,6.3000002,16
0,1,1,2012,1,5,11.2,11.2,890,0,14.470953,-16.594049,19.537857,-0.03071429,11.562857,8.4952382,15.51118,2.666667938,15.060951,11.485715,-0.04047619,-20.02380943,0,-5.9038102,61.5,38.8,76.7,1124,227.505,101.81,3.082,2797870,2763.1,3.98,2.898,401,150600,616,1010000,43,3027002,3.06,727.59,41.2,2794.7,88,110,7.04,360448,0.01,1281.06,7.6,0.87,25276,41.599998,47564,540,1092,1202,2524,1048,4580,2249,13461,185,20.9,42586,48530,51954,22569,4.8000002,502
3,1,1,2012,1,3,11.2,11.2,890,0,7.0826187,-7.0007136,8.1559525,-0.17190476,4.827143,1.5173809,5.25563,-12.5,7.5578554,4.7523825,-0.13214285,20.57143021,0,-1.7164287,61.5,38.8,76.7,1085,227.505,102.96,3.087,3163687,2845,3.98,2.994,539.9,240400,616,1260000,78,3473590,2.99,996.71,41,2885.3,88,135,6.52,360448,0,1277.06,8.9,0.72,24261,35.299999,37208,2668,6079,1594,2895,1005,4081,4294,13698,345,28.200001,53608,62628,63063,26721,5.0999999,632
0,1,1,2012,1,4,11.2,11.2,890,0,-2.9807143,-1.6188097,5.38619,-0.05309524,3.1542856,-1.5700001,11.57731,-19.33333588,4.057142,-2.0240479,-0.08214286,-34.6428566,0,-1.9383336,61.5,38.8,76.7,1124,227.505,103.22,3.135,4146383,4007.8,3.98,2.985,615,150600,616,1010000,43,4593805,3.04,886.82,42.8,3949,88,110,6.54,360448,0.01,1277.3,9.7,0.8,13576,31.299999,25520,893,252,311,2253,510,576,859,7166,103,29.4,59429,62690,67000,21571,5.5,21
0,1,1,2012,1,5,11.2,11.2,890,0,-2.3635714,-3.293808,2.8292847,-0.05333333,2.0766667,-2.2752382,9.7323,-15.23809433,2.3342857,-4.5576189,-0.03690476,-16.8571434,0,0.04666702,61.5,38.8,76.7,1338,227.505,101.81,3.082,8583615,8747,3.98,2.898,1458.3,266600,616,600000,25,9449907,3.06,756.69,40.4,8645.5,90,75,7.04,360448,0.01,1281.06,9.2,0.87,11385,36.799999,22040,298,183,465,1528,252,949,1208,5493,125,32.900002,63066,74287,75121,27485,5.8000002,1862
0,1,1,2012,1,4,11.2,11.2,890,0,0.16142921,-3.7390478,5.4,-0.03,3.6295242,2.8871428,9.744713,-2.785713196,6.5242844,1.239048,-0.03809524,-7.952381134,-0.857142866,-1.9878569,61.5,38.8,76.7,1029,227.505,103.22,3.135,11515624,10724.2,3.98,2.985,1788.8,175700,616,1760000,192,12462387,3.04,795.16,44.2,10465.7,274,403,6.54,360448,0.01,1277.3,7.6,0.8,17547,30.299999,25412,5443,1469,2170,2674,697,2613,1860,9139,112,23.299999,42819,51541,49506,20054,5.4000001,7
0,1,1,2012,1,2,11.2,11.2,890,0,1.6628573,-0.75976349,-2.0933342,-0.0202381,-1.0304762,-2.0502381,11.77426,-12.45238113,0.34261871,6.2616673,-0.05357143,0.02381134,0,13.004525,61.5,38.8,76.7,1124,227.505,98.83,2.964,5231215,5149.7,3.98,2.902,759.7,150600,616,1010000,43,5726212,2.89,790.6,40.9,5177.4,88,110,6.31,360448,0,1257.6,8.6,0.64,49067,34.299999,83594,10158,3210,710,7056,1836,5727,8807,28501,853,22,60457,68252,69119,28102,6.1999998,210
3,1,1,2012,1,6,11.2,11.2,890,0,13.249762,-7.7145233,12.120716,-0.09190476,6.8433334,4.8511906,10.73216,-2.547618866,10.570713,1.3666666,-0.03809524,-14.5,0,-0.52857063,61.5,38.8,76.7,1338,227.505,101.56,3.117,8583615,8747,3.98,2.889,1458.3,266600,616,600000,25,9449907,3.02,756.69,40.4,8645.5,90,75,7.1,360448,0.01,1277.81,9.2,0.93,39321,36,73702,1104,2254,2522,4854,1334,2998,3435,20628,277,31.5,64036,71261,69472,23753,6.1999998,9956
0,1,1,2012,1,1,11.2,11.2,890,0,18.059047,-18.731906,20.614286,-0.03119048,13.594762,8.9671429,11.86841,-7.595237732,21.010477,11.20381,-0.02976191,27.2142868,0,6.6121427,61.5,38.8,76.7,1338,227.505,98.83,2.964,5805265,5711.5,3.98,2.902,721.2,266600,616,600000,25,6331472,2.89,711.42,39.9,5690.4,90,75,6.31,360448,0,1257.6,8.3,0.54,9786,36.400002,19057,182,276,85,1435,230,600,1792,4944,346,27.700001,65268,86307,78101,31016,6.8000002,356
0,1,1,2012,1,3,11.2,11.2,890,0,-11.117619,6.9750002,-6.8916681,-0.05309524,-4.6283332,-8.6952382,10.28447,-22.26190567,-4.1188087,2.4519043,-0.03452381,-20.16666603,0,7.0499995,61.5,38.8,76.7,1338,227.505,102.96,3.087,8583615,8747,3.98,2.994,1458.3,266600,616,600000,25,9449907,2.99,756.69,40.4,8645.5,90,75,6.52,360448,0,1277.06,9.2,0.72,43952,37.099998,82899,590,2763,3244,5432,1618,1447,4084,22947,349,31.1,69835,74234,73544,24963,6.5,12692
